PFAM_NAME	PFAM_ACC	PFAM_DESC	IS_DUF
03009_C	PF26733	Adenylate-forming reductase 03009, C-terminal domain	0
1-cysPrx_C	PF10417	C-terminal domain of 1-Cys peroxiredoxin	0
10_blade	PF21734	10-bladed beta propeller domain	0
117-like_vir	PF21578	Virus, 117-like	0
120_Rick_ant	PF12574	120 KDa Rickettsia surface antigen	0
12TM_1	PF09847	Membrane protein of 12 TMs	0
12TM_Mok13	PF26127	Mok13-like, transmembrane domain	0
14-3-3	PF00244	14-3-3 protein	0
17kDa_Anti_2	PF16998	17 kDa outer membrane surface antigen	0
1TM_TonB	PF28546	TonB transmembrane helix	0
1TM_TonB_rel	PF28545	TonB-like single transmembrane helix	0
2-Hacid_dh	PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	0
2-Hacid_dh_C	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	0
2-oxoacid_dh	PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	0
2-oxogl_dehyd_N	PF16078	2-oxoglutarate dehydrogenase N-terminus	0
2-ph_phosp	PF04029	2-phosphosulpholactate phosphatase	0
2-thiour_desulf	PF04463	2-thiouracil desulfurase	0
2-thiour_desulf_put	PF27735	Putative 2-thiouracil desulfurase	0
23ISL	PF16620	Unstructured linker between I-set domains 2 and 3 on MYLCK	0
23S_rRNA_IVP	PF05635	23S rRNA-intervening sequence protein	0
2AA_helical	PF22956	Phosphatase 2A Regulatory Subunit A, helical domain	0
2B_soluble	PF20758	2B protein soluble domain	0
2CompARG	PF22545	2-Component system ADP-ribose glycohydrolase domain	0
2CompART	PF22546	2-Component system ADP-ribosyltransferase domain	0
2CSK_N	PF08521	Two-component sensor kinase N-terminal	0
2C_adapt	PF08793	2-cysteine adaptor domain	0
2EXR	PF20150	2EXR family	0
2Fe-2S_Ferredox	PF11591	Ferredoxin chloroplastic transit peptide	0
2Fe-2S_thioredx	PF01257	Thioredoxin-like [2Fe-2S] ferredoxin	0
2H-phosphodiest	PF08975	Domain of unknown function (DUF1868)	1
2H-SAK	PF22547	Swiss Army Knife, 2H phosphoesterase domain	0
2HCT	PF03390	2-hydroxycarboxylate transporter family	0
2L_N_poxvirus	PF21584	Poxvirus, 2L, N-terminal domain	0
2OG-FeII_Oxy	PF03171	2OG-Fe(II) oxygenase superfamily	0
2OG-FeII_Oxy_2	PF13532	2OG-Fe(II) oxygenase superfamily	0
2OG-FeII_Oxy_3	PF13640	2OG-Fe(II) oxygenase superfamily	0
2OG-FeII_Oxy_4	PF13661	2OG-Fe(II) oxygenase superfamily	0
2OG-FeII_Oxy_5	PF13759	Putative 2OG-Fe(II) oxygenase	0
2OG-FeII_Oxy_6	PF20515	Tet-like 2OG-Fe(II) oxygenase superfamily	0
2OG-Fe_Oxy_2	PF10014	2OG-Fe dioxygenase	0
2TM	PF13239	2TM domain	0
2TM_P5A-ATPase	PF23143	P5A-ATPase, transmembrane helical hairpin	0
2_5_RNA_ligase2	PF13563	2'-5' RNA ligase superfamily	0
3-dmu-9_3-mt	PF06983	3-demethylubiquinone-9 3-methyltransferase	0
3-HAO	PF06052	3-hydroxyanthranilic acid dioxygenase	0
3-PAP	PF12578	Myotubularin-associated protein	0
30K_MP_core	PF17644	Jelly-roll domain of 30K viral movement proteins	0
30K_MP_C_Ter	PF11330	C-Terminal of 30K viral movement proteins	0
